"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,61.2,59.8,3.8,8.7,0.735714285714286
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,61.7,55.2,8.4,12.6,0.921428571428571
"152",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,59.9,46.7,10,16.7,0.821428571428571
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016,59.2,45.1,10,10.6,0.835714285714286
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2016,58.1,53.3,9.8,9.6,0.621428571428571
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2016,66,56,7.3,12.5,0.585714285714286
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,61.5,47.2,10,13.3,0.757142857142857
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,62.2,50,10,12.9,0.707142857142857
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,63.7,55,10,8.9,0.885714285714286
"159",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,65.2,56.3,10,6.6,0.85
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016,63,51.5,10,7.4,0.728571428571429
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2016,62.6,53.5,10,7.3,0.778571428571429
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2016,59.9,51.5,10,9.8,0.464285714285714
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,61.4,55.9,10,8.6,0.807142857142857
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,63.6,59.9,7.4,12.2,0.735714285714286
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,65.6,60.2,7.2,7.9,0.8
"166",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,63,59.4,8.3,7,0.678571428571429
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016,65.3,56.6,8.8,7.8,0.857142857142857
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2016,62.1,52.1,10,8,0.742857142857143
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2016,60.8,49.4,10,5.7,0.578571428571429
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2016,64.3,58.3,10,9.3,0.821428571428571
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,66.1,64,7.5,8.1,0.75
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,67.2,64.8,7.2,7.5,0.892857142857143
"173",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016,68.9,63.6,5.9,6.4,0.942857142857143
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,66.9,63.6,7.8,8.7,0.864285714285714
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,69.4,62.8,7.2,11.8,0.392857142857143
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,67.2,58,10,9.6,0.485714285714286
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,68.4,62.6,9.9,11.7,0.464285714285714
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,67.1,65.3,6.2,9.2,0.621428571428571
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,71.8,65.3,8.6,6.5,0.714285714285714
"180",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,68.7,66.7,4.1,5.9,0.685714285714286
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,65.7,64.2,3.2,10,0.692857142857143
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,61.7,58.6,6.5,10.8,0.55
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,63,60.1,6.8,7.7,0.521428571428571
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,63.1,58.4,9.9,4.9,0.607142857142857
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,66.7,61.2,10,7.3,0.771428571428571
